mouse_symbol,human_symbol,source,confidence
ABHD5,ABHD5,HCOP,12
ABHD8,ABHD8,HCOP,12
ABITRAM,ABITRAM,HCOP,12
ABL1,ABL1,HCOP,12
ABL2,ABL2,HCOP,12
ABLIM2,ABLIM2,HCOP,12
ABLIM3,ABLIM3,HCOP,12
ABRA,ABRA,HCOP,12
ABRAXAS2,ABRAXAS2,HCOP,12
ABT1,ABT1,HCOP,12
ABTB1,ABTB1,HCOP,12
ABTB3,ABTB3,HCOP,12
ACAD11,ACAD11,HCOP,12
ACAD8,ACAD8,HCOP,12
ACADL,ACADL,HCOP,12
ACADM,ACADM,HCOP,12
ACADSB,ACADSB,HCOP,12
ACADVL,ACADVL,HCOP,12
ACAP1,ACAP1,HCOP,12
ACAP2,ACAP2,HCOP,12
ACAT1,ACAT1,HCOP,12
ACBD3,ACBD3,HCOP,12
ACBD5,ACBD5,HCOP,12
ACCS,ACCS,HCOP,12
ACE,ACE,HCOP,12
ACE2,ACE2,HCOP,12
ACER1,ACER1,HCOP,12
ACER2,ACER2,HCOP,12
ACER3,ACER3,HCOP,12
ACKR3,ACKR3,HCOP,12
ACKR4,ACKR4,HCOP,12
ACMSD,ACMSD,HCOP,12
ACO2,ACO2,HCOP,12
ACOD1,ACOD1,HCOP,12
ACOT11,ACOT11,HCOP,12
ACOT12,ACOT12,HCOP,12
ACOT13,ACOT13,HCOP,12
ACOT7,ACOT7,HCOP,12
ACOT8,ACOT8,HCOP,12
ACOX1,ACOX1,HCOP,12
ACOX3,ACOX3,HCOP,12
ACOXL,ACOXL,HCOP,12
ACP2,ACP2,HCOP,12
ACP3,ACP3,HCOP,12
ACP7,ACP7,HCOP,12
ACR,ACR,HCOP,12
ACRBP,ACRBP,HCOP,12
ACSBG1,ACSBG1,HCOP,12
ACSBG2,ACSBG2,HCOP,12
ACSF2,ACSF2,HCOP,12
ACSF3,ACSF3,HCOP,12
ACSM3,ACSM3,HCOP,12
ACSM4,ACSM4,HCOP,12
ACSM5,ACSM5,HCOP,12
ACSS3,ACSS3,HCOP,12
ACTBL2,ACTBL2,HCOP,12
ACTL6A,ACTL6A,HCOP,12
ACTL6B,ACTL6B,HCOP,12
ACTL7A,ACTL7A,HCOP,12
ACTL9,ACTL9,HCOP,12
ACTN1,ACTN1,HCOP,12
ACTN4,ACTN4,HCOP,12
ACTR1A,ACTR1A,HCOP,12
ACTR1B,ACTR1B,HCOP,12
ACTR2,ACTR2,HCOP,12
ACTR3,ACTR3,HCOP,12
ACTR6,ACTR6,HCOP,12
ACTR8,ACTR8,HCOP,12
ACTRT3,ACTRT3,HCOP,12
ACVR1,ACVR1,HCOP,12
ACVR1B,ACVR1B,HCOP,12
ACVR2A,ACVR2A,HCOP,12
ACVR2B,ACVR2B,HCOP,12
ACY3,ACY3,HCOP,12
ADA,ADA,HCOP,12
ADAD1,ADAD1,HCOP,12
ADAD2,ADAD2,HCOP,12
ADAL,ADAL,HCOP,12
ADAM11,ADAM11,HCOP,12
ADAM15,ADAM15,HCOP,12
ADAM22,ADAM22,HCOP,12
ADAM28,ADAM28,HCOP,12
ADAM29,ADAM29,HCOP,12
ADAM30,ADAM30,HCOP,12
ADAM33,ADAM33,HCOP,12
ADAMDEC1,ADAMDEC1,HCOP,12
ADAMTS10,ADAMTS10,HCOP,12
ADAMTS13,ADAMTS13,HCOP,12
ADAMTS15,ADAMTS15,HCOP,12
ADAMTS16,ADAMTS16,HCOP,12
ADAMTS19,ADAMTS19,HCOP,12
ADAMTS2,ADAMTS2,HCOP,12
ADAMTS8,ADAMTS8,HCOP,12
ADAMTSL2,ADAMTSL2,HCOP,12
ADAMTSL4,ADAMTSL4,HCOP,12
ADAR,ADAR,HCOP,12
ADARB2,ADARB2,HCOP,12
ADAT1,ADAT1,HCOP,12
ADAT2,ADAT2,HCOP,12
ADCK2,ADCK2,HCOP,12
ADCK5,ADCK5,HCOP,12
ADCY1,ADCY1,HCOP,12
ADCY2,ADCY2,HCOP,12
ADCY3,ADCY3,HCOP,12
ADCY4,ADCY4,HCOP,12
ADCY5,ADCY5,HCOP,12
ADCY6,ADCY6,HCOP,12
ADCY9,ADCY9,HCOP,12
ADCYAP1,ADCYAP1,HCOP,12
ADCYAP1R1,ADCYAP1R1,HCOP,12
ADD2,ADD2,HCOP,12
ADGRA2,ADGRA2,HCOP,12
ADGRB2,ADGRB2,HCOP,12
ADGRE1,ADGRE1,HCOP,12
ADGRF4,ADGRF4,HCOP,12
ADGRG1,ADGRG1,HCOP,12
ADGRG2,ADGRG2,HCOP,12
ADGRG6,ADGRG6,HCOP,12
ADGRL1,ADGRL1,HCOP,12
ADGRV1,ADGRV1,HCOP,12
ADH5,ADH5,HCOP,12
ADHFE1,ADHFE1,HCOP,12
ADI1,ADI1,HCOP,12
ADIPOR1,ADIPOR1,HCOP,12
ADISSP,ADISSP,HCOP,12
ADM2,ADM2,HCOP,12
ADNP2,ADNP2,HCOP,12
ADO,ADO,HCOP,12
ADPGK,ADPGK,HCOP,12
ADPRH,ADPRH,HCOP,12
ADPRM,ADPRM,HCOP,12
ADPRS,ADPRS,HCOP,12
ADRA1A,ADRA1A,HCOP,12
ADRA1B,ADRA1B,HCOP,12
ADRA2C,ADRA2C,HCOP,12
ADRB3,ADRB3,HCOP,12
ADRM1,ADRM1,HCOP,12
ADSS1,ADSS1,HCOP,12
ADTRP,ADTRP,HCOP,12
AEBP1,AEBP1,HCOP,12
AEBP2,AEBP2,HCOP,12
AEN,AEN,HCOP,12
AFAP1L1,AFAP1L1,HCOP,12
AFDN,AFDN,HCOP,12
AFF4,AFF4,HCOP,12
AFG1L,AFG1L,HCOP,12
AFG2A,AFG2A,HCOP,12
AFG3L2,AFG3L2,HCOP,12
AFM,AFM,HCOP,12
AFMID,AFMID,HCOP,12
AFP,AFP,HCOP,12
AGA,AGA,HCOP,12
AGAP2,AGAP2,HCOP,12
AGAP3,AGAP3,HCOP,12
AGBL2,AGBL2,HCOP,12
AGBL3,AGBL3,HCOP,12
AGBL4,AGBL4,HCOP,12
AGER,AGER,HCOP,12
AGFG2,AGFG2,HCOP,12
AGGF1,AGGF1,HCOP,12
AGMAT,AGMAT,HCOP,12
AGMO,AGMO,HCOP,12
AGO4,AGO4,HCOP,12
AGPAT1,AGPAT1,HCOP,12
AGPAT2,AGPAT2,HCOP,12
AGPAT3,AGPAT3,HCOP,12
AGPAT4,AGPAT4,HCOP,12
AGPAT5,AGPAT5,HCOP,12
AGPS,AGPS,HCOP,12
AGR2,AGR2,HCOP,12
AGR3,AGR3,HCOP,12
AGRN,AGRN,HCOP,12
AGRP,AGRP,HCOP,12
AGT,AGT,HCOP,12
AGTPBP1,AGTPBP1,HCOP,12
AGTR2,AGTR2,HCOP,12
AHCTF1,AHCTF1,HCOP,12
AHCYL1,AHCYL1,HCOP,12
AHCYL2,AHCYL2,HCOP,12
AHDC1,AHDC1,HCOP,12
AHI1,AHI1,HCOP,12
AHRR,AHRR,HCOP,12
AHSA1,AHSA1,HCOP,12
AHSG,AHSG,HCOP,12
AI429214,C8ORF48,HCOP,12
AI467606,C16ORF54,HCOP,12
AI593442,C11ORF87,HCOP,12
AI597479,C2ORF49,HCOP,12
AI837181,C11ORF68,HCOP,12
AIDA,AIDA,HCOP,12
AIF1L,AIF1L,HCOP,12
AIFM1,AIFM1,HCOP,12
AIFM2,AIFM2,HCOP,12
AIFM3,AIFM3,HCOP,12
AIG1,AIG1,HCOP,12
AIM2,AIM2,HCOP,12
AIMP1,AIMP1,HCOP,12
AIP,AIP,HCOP,12
AIRE,AIRE,HCOP,12
AJM1,AJM1,HCOP,12
AJUBA,AJUBA,HCOP,12
AK2,AK2,HCOP,12
AK3,AK3,HCOP,12
AK4,AK4,HCOP,12
AK5,AK5,HCOP,12
AK7,AK7,HCOP,12
AK8,AK8,HCOP,12
AKAP10,AKAP10,HCOP,12
AKAP12,AKAP12,HCOP,12
AKAP4,AKAP4,HCOP,12
AKAP8,AKAP8,HCOP,12
AKAP8L,AKAP8L,HCOP,12
AKIRIN1,AKIRIN1,HCOP,12
AKIRIN2,AKIRIN2,HCOP,12
AKNA,AKNA,HCOP,12
AKR1A1,AKR1A1,HCOP,12
AKR1B1,AKR1B1,HCOP,12
AKR1D1,AKR1D1,HCOP,12
AKT2,AKT2,HCOP,12
AKT3,AKT3,HCOP,12
AKTIP,AKTIP,HCOP,12
ALAD,ALAD,HCOP,12
ALAS1,ALAS1,HCOP,12
ALB,ALB,HCOP,12
ALCAM,ALCAM,HCOP,12
ALDH1A2,ALDH1A2,HCOP,12
ALDH1A3,ALDH1A3,HCOP,12
ALDH1B1,ALDH1B1,HCOP,12
ALDH1L1,ALDH1L1,HCOP,12
ALDH5A1,ALDH5A1,HCOP,12
ALDH6A1,ALDH6A1,HCOP,12
ALDH7A1,ALDH7A1,HCOP,12
ALDH8A1,ALDH8A1,HCOP,12
ALDH9A1,ALDH9A1,HCOP,12
ALDOC,ALDOC,HCOP,12
ALG11,ALG11,HCOP,12
ALG14,ALG14,HCOP,12
ALG2,ALG2,HCOP,12
ALKBH1,ALKBH1,HCOP,12
ALKBH2,ALKBH2,HCOP,12
ALKBH3,ALKBH3,HCOP,12
ALKBH4,ALKBH4,HCOP,12
ALKBH7,ALKBH7,HCOP,12
ALKBH8,ALKBH8,HCOP,12
ALOX12,ALOX12,HCOP,12
ALOX5AP,ALOX5AP,HCOP,12
ALOX8,ALOX15B,HCOP,12
ALPK1,ALPK1,HCOP,12
ALS2CL,ALS2CL,HCOP,12
ALX1,ALX1,HCOP,12
AMBN,AMBN,HCOP,12
AMBRA1,AMBRA1,HCOP,12
AMDHD1,AMDHD1,HCOP,12
AMER3,AMER3,HCOP,12
AMFR,AMFR,HCOP,12
AMH,AMH,HCOP,12
AMHR2,AMHR2,HCOP,12
AMIGO1,AMIGO1,HCOP,12
AMIGO2,AMIGO2,HCOP,12
AMMECR1,AMMECR1,HCOP,12
AMN,AMN,HCOP,12
AMOT,AMOT,HCOP,12
AMOTL1,AMOTL1,HCOP,12
AMOTL2,AMOTL2,HCOP,12
AMPD2,AMPD2,HCOP,12
AMPD3,AMPD3,HCOP,12
AMPH,AMPH,HCOP,12
AMT,AMT,HCOP,12
AMTN,AMTN,HCOP,12
AMZ1,AMZ1,HCOP,12
ANAPC10,ANAPC10,HCOP,12
ANAPC13,ANAPC13,HCOP,12
ANAPC4,ANAPC4,HCOP,12
ANAPC5,ANAPC5,HCOP,12
ANAPC7,ANAPC7,HCOP,12
ANGEL1,ANGEL1,HCOP,12
ANGEL2,ANGEL2,HCOP,12
ANGPT2,ANGPT2,HCOP,12
ANGPTL1,ANGPTL1,HCOP,12
ANGPTL4,ANGPTL4,HCOP,12
ANGPTL6,ANGPTL6,HCOP,12
ANGPTL7,ANGPTL7,HCOP,12
ANGPTL8,ANGPTL8,HCOP,12
ANK,ANKH,HCOP,12
ANKEF1,ANKEF1,HCOP,12
ANKIB1,ANKIB1,HCOP,12
ANKK1,ANKK1,HCOP,12
ANKLE2,ANKLE2,HCOP,12
ANKMY2,ANKMY2,HCOP,12
ANKRD1,ANKRD1,HCOP,12
ANKRD13A,ANKRD13A,HCOP,12
ANKRD13B,ANKRD13B,HCOP,12
ANKRD13C,ANKRD13C,HCOP,12
ANKRD13D,ANKRD13D,HCOP,12
ANKRD17,ANKRD17,HCOP,12
ANKRD23,ANKRD23,HCOP,12
ANKRD27,ANKRD27,HCOP,12
ANKRD34C,ANKRD34C,HCOP,12
ANKRD37,ANKRD37,HCOP,12
ANKRD40,ANKRD40,HCOP,12
ANKRD45,ANKRD45,HCOP,12
ANKRD46,ANKRD46,HCOP,12
ANKRD49,ANKRD49,HCOP,12
ANKRD52,ANKRD52,HCOP,12
ANKRD54,ANKRD54,HCOP,12
ANKRD61,ANKRD61,HCOP,12
ANKRD9,ANKRD9,HCOP,12
ANKS1,ANKS1A,HCOP,12
ANKS3,ANKS3,HCOP,12
ANKS4B,ANKS4B,HCOP,12
ANLN,ANLN,HCOP,12
ANO1,ANO1,HCOP,12
ANO10,ANO10,HCOP,12
ANO3,ANO3,HCOP,12
ANO6,ANO6,HCOP,12
ANO8,ANO8,HCOP,12
ANO9,ANO9,HCOP,12
ANPEP,ANPEP,HCOP,12
ANTKMT,ANTKMT,HCOP,12
ANTXR1,ANTXR1,HCOP,12
ANTXR2,ANTXR2,HCOP,12
ANXA1,ANXA1,HCOP,12
ANXA5,ANXA5,HCOP,12
ANXA9,ANXA9,HCOP,12
AOC3,AOC3,HCOP,12
AOPEP,AOPEP,HCOP,12
AOX1,AOX1,HCOP,12
AP1G1,AP1G1,HCOP,12
AP1M1,AP1M1,HCOP,12
AP1M2,AP1M2,HCOP,12
AP1S1,AP1S1,HCOP,12
AP1S3,AP1S3,HCOP,12
AP2A1,AP2A1,HCOP,12
AP2M1,AP2M1,HCOP,12
AP2S1,AP2S1,HCOP,12
AP3B2,AP3B2,HCOP,12
AP3M2,AP3M2,HCOP,12
AP3S1,AP3S1,HCOP,12
AP4M1,AP4M1,HCOP,12
AP4S1,AP4S1,HCOP,12
AP5M1,AP5M1,HCOP,12
APAF1,APAF1,HCOP,12
APBA1,APBA1,HCOP,12
APBA2,APBA2,HCOP,12
APBA3,APBA3,HCOP,12
APBB1IP,APBB1IP,HCOP,12
APBB2,APBB2,HCOP,12
APC2,APC2,HCOP,12
APCDD1,APCDD1,HCOP,12
APCS,APCS,HCOP,12
APEX1,APEX1,HCOP,12
APH1A,APH1A,HCOP,12
APIP,APIP,HCOP,12
APLNR,APLNR,HCOP,12
APLP1,APLP1,HCOP,12
APMAP,APMAP,HCOP,12
APOA5,APOA5,HCOP,12
APOC2,APOC2,HCOP,12
APOC4,APOC4,HCOP,12
APOE,APOE,HCOP,12
APOF,APOF,HCOP,12
APOH,APOH,HCOP,12
APOM,APOM,HCOP,12
APOOL,APOOL,HCOP,12
APP,APP,HCOP,12
APPBP2,APPBP2,HCOP,12
APPL2,APPL2,HCOP,12
APTX,APTX,HCOP,12
AQP11,AQP11,HCOP,12
AQP2,AQP2,HCOP,12
AQP3,AQP3,HCOP,12
AQP5,AQP5,HCOP,12
AQP6,AQP6,HCOP,12
AQP8,AQP8,HCOP,12
AQP9,AQP9,HCOP,12
AQR,AQR,HCOP,12
AR,AR,HCOP,12
ARAP1,ARAP1,HCOP,12
ARAP2,ARAP2,HCOP,12
ARC,ARC,HCOP,12
AREG,AREG,HCOP,12
AREL1,AREL1,HCOP,12
ARF1,ARF1,HCOP,12
ARF4,ARF4,HCOP,12
ARF5,ARF5,HCOP,12
ARF6,ARF6,HCOP,12
ARFGAP1,ARFGAP1,HCOP,12
ARFGAP2,ARFGAP2,HCOP,12
ARFGAP3,ARFGAP3,HCOP,12
ARFGEF2,ARFGEF2,HCOP,12
ARFGEF3,ARFGEF3,HCOP,12
ARFIP1,ARFIP1,HCOP,12
ARFIP2,ARFIP2,HCOP,12
ARG1,ARG1,HCOP,12
ARG2,ARG2,HCOP,12
ARHGAP1,ARHGAP1,HCOP,12
ARHGAP10,ARHGAP10,HCOP,12
ARHGAP12,ARHGAP12,HCOP,12
ARHGAP15,ARHGAP15,HCOP,12
ARHGAP17,ARHGAP17,HCOP,12
ARHGAP19,ARHGAP19,HCOP,12
ARHGAP20,ARHGAP20,HCOP,12
ARHGAP24,ARHGAP24,HCOP,12
ARHGAP25,ARHGAP25,HCOP,12
ARHGAP27,ARHGAP27,HCOP,12
ARHGAP28,ARHGAP28,HCOP,12
ARHGAP29,ARHGAP29,HCOP,12
ARHGAP31,ARHGAP31,HCOP,12
ARHGAP32,ARHGAP32,HCOP,12
ARHGAP33,ARHGAP33,HCOP,12
ARHGAP39,ARHGAP39,HCOP,12
ARHGAP42,ARHGAP42,HCOP,12
ARHGAP44,ARHGAP44,HCOP,12
ARHGAP45,ARHGAP45,HCOP,12
ARHGAP6,ARHGAP6,HCOP,12
ARHGDIB,ARHGDIB,HCOP,12
ARHGDIG,ARHGDIG,HCOP,12
ARHGEF1,ARHGEF1,HCOP,12
ARHGEF10,ARHGEF10,HCOP,12
ARHGEF10L,ARHGEF10L,HCOP,12
ARHGEF11,ARHGEF11,HCOP,12
ARHGEF15,ARHGEF15,HCOP,12
ARHGEF17,ARHGEF17,HCOP,12
ARHGEF19,ARHGEF19,HCOP,12
ARHGEF25,ARHGEF25,HCOP,12
ARHGEF28,ARHGEF28,HCOP,12
ARHGEF3,ARHGEF3,HCOP,12
ARHGEF33,ARHGEF33,HCOP,12
ARHGEF37,ARHGEF37,HCOP,12
ARHGEF39,ARHGEF39,HCOP,12
ARHGEF6,ARHGEF6,HCOP,12
ARHGEF7,ARHGEF7,HCOP,12
ARHGEF9,ARHGEF9,HCOP,12
ARID1A,ARID1A,HCOP,12
ARID3A,ARID3A,HCOP,12
ARID3B,ARID3B,HCOP,12
ARID4B,ARID4B,HCOP,12
ARIH1,ARIH1,HCOP,12
ARIH2,ARIH2,HCOP,12
ARL1,ARL1,HCOP,12
ARL11,ARL11,HCOP,12
ARL13A,ARL13A,HCOP,12
ARL14EP,ARL14EP,HCOP,12
ARL15,ARL15,HCOP,12
ARL5A,ARL5A,HCOP,12
ARL5C,ARL5C,HCOP,12
ARL6,ARL6,HCOP,12
ARL6IP1,ARL6IP1,HCOP,12
ARL6IP5,ARL6IP5,HCOP,12
ARL6IP6,ARL6IP6,HCOP,12
ARMC10,ARMC10,HCOP,12
ARMC12,ARMC12,HCOP,12
ARMC3,ARMC3,HCOP,12
ARMC5,ARMC5,HCOP,12
ARMC6,ARMC6,HCOP,12
ARMC7,ARMC7,HCOP,12
ARMC8,ARMC8,HCOP,12
ARMC9,ARMC9,HCOP,12
ARMCX1,ARMCX1,HCOP,12
ARMCX2,ARMCX2,HCOP,12
ARMCX3,ARMCX3,HCOP,12
ARMCX5,ARMCX5,HCOP,12
ARMCX6,ARMCX6,HCOP,12
ARMH3,ARMH3,HCOP,12
ARMH4,ARMH4,HCOP,12
ARMT1,ARMT1,HCOP,12
ARNT2,ARNT2,HCOP,12
ARPC3,ARPC3,HCOP,12
ARPP21,ARPP21,HCOP,12
ARR3,ARR3,HCOP,12
ARRB1,ARRB1,HCOP,12
ARRB2,ARRB2,HCOP,12
ARRDC1,ARRDC1,HCOP,12
ARRDC2,ARRDC2,HCOP,12
ARRDC3,ARRDC3,HCOP,12
ARRDC5,ARRDC5,HCOP,12
ARSA,ARSA,HCOP,12
ARSB,ARSB,HCOP,12
ARSI,ARSI,HCOP,12
ARSK,ARSK,HCOP,12
ART1,ART1,HCOP,12
ART4,ART4,HCOP,12
ARTN,ARTN,HCOP,12
ARV1,ARV1,HCOP,12
ARX,ARX,HCOP,12
ASAH1,ASAH1,HCOP,12
ASAP3,ASAP3,HCOP,12
ASB1,ASB1,HCOP,12
ASB10,ASB10,HCOP,12
ASB11,ASB11,HCOP,12
ASB12,ASB12,HCOP,12
ASB13,ASB13,HCOP,12
ASB16,ASB16,HCOP,12
ASB17,ASB17,HCOP,12
ASB18,ASB18,HCOP,12
ASB2,ASB2,HCOP,12
ASB4,ASB4,HCOP,12
ASB5,ASB5,HCOP,12
ASB6,ASB6,HCOP,12
ASB8,ASB8,HCOP,12
ASCC1,ASCC1,HCOP,12
ASCC2,ASCC2,HCOP,12
ASF1A,ASF1A,HCOP,12
ASF1B,ASF1B,HCOP,12
ASGR2,ASGR2,HCOP,12
ASH2L,ASH2L,HCOP,12
ASIC4,ASIC4,HCOP,12
ASIC5,ASIC5,HCOP,12
ASNS,ASNS,HCOP,12
ASNSD1,ASNSD1,HCOP,12
ASPA,ASPA,HCOP,12
ASPDH,ASPDH,HCOP,12
ASPG,ASPG,HCOP,12
ASPH,ASPH,HCOP,12
ASPHD2,ASPHD2,HCOP,12
ASPN,ASPN,HCOP,12
ASPSCR1,ASPSCR1,HCOP,12
ASRGL1,ASRGL1,HCOP,12
ASTE1,ASTE1,HCOP,12
ASTL,ASTL,HCOP,12
ASTN2,ASTN2,HCOP,12
ASXL1,ASXL1,HCOP,12
ATAD5,ATAD5,HCOP,12
ATCAY,ATCAY,HCOP,12
ATF1,ATF1,HCOP,12
ATF3,ATF3,HCOP,12
ATF5,ATF5,HCOP,12
ATF6,ATF6,HCOP,12
ATF7IP,ATF7IP,HCOP,12
ATG10,ATG10,HCOP,12
ATG101,ATG101,HCOP,12
ATG12,ATG12,HCOP,12
ATG13,ATG13,HCOP,12
ATG14,ATG14,HCOP,12
ATG16L1,ATG16L1,HCOP,12
ATG16L2,ATG16L2,HCOP,12
ATG2A,ATG2A,HCOP,12
ATG2B,ATG2B,HCOP,12
ATG3,ATG3,HCOP,12
ATG4A,ATG4A,HCOP,12
ATG4B,ATG4B,HCOP,12
ATG7,ATG7,HCOP,12
ATG9A,ATG9A,HCOP,12
ATIC,ATIC,HCOP,12
ATL1,ATL1,HCOP,12
ATL2,ATL2,HCOP,12
ATL3,ATL3,HCOP,12
ATMIN,ATMIN,HCOP,12
ATN1,ATN1,HCOP,12
ATOH1,ATOH1,HCOP,12
ATOH8,ATOH8,HCOP,12
ATOSB,ATOSB,HCOP,12
ATP10A,ATP10A,HCOP,12
ATP10B,ATP10B,HCOP,12
ATP13A4,ATP13A4,HCOP,12
ATP13A5,ATP13A5,HCOP,12
ATP1A1,ATP1A1,HCOP,12
ATP1B1,ATP1B1,HCOP,12
ATP1B2,ATP1B2,HCOP,12
ATP1B3,ATP1B3,HCOP,12
ATP1B4,ATP1B4,HCOP,12
ATP23,ATP23,HCOP,12
ATP2A1,ATP2A1,HCOP,12
ATP2A2,ATP2A2,HCOP,12
ATP2B3,ATP2B3,HCOP,12
ATP2B4,ATP2B4,HCOP,12
ATP2C2,ATP2C2,HCOP,12
ATP4B,ATP4B,HCOP,12
ATP5F1A,ATP5F1A,HCOP,12
ATP5F1B,ATP5F1B,HCOP,12
ATP5F1C,ATP5F1C,HCOP,12
ATP5F1D,ATP5F1D,HCOP,12
ATP5MC3,ATP5MC3,HCOP,12
ATP5MF,ATP5MF,HCOP,12
ATP5MJ,ATP5MJ,HCOP,12
ATP5MK,ATP5MK,HCOP,12
ATP5PB,ATP5PB,HCOP,12
ATP5PF,ATP5PF,HCOP,12
ATP6V0A2,ATP6V0A2,HCOP,12
ATP6V0A4,ATP6V0A4,HCOP,12
ATP6V0D1,ATP6V0D1,HCOP,12
ATP6V0D2,ATP6V0D2,HCOP,12
ATP6V0E,ATP6V0E1,HCOP,12
ATP6V1A,ATP6V1A,HCOP,12
